5,cinquante-cinq,fünfundfünfzig
5,cinquante-six,sechsundfünfzig
5,cinquante-sept,siebenundfünfzig
5,cinquante-huit,achtundfünfzig
5,cinquante-neuf,neunundfünfzig
5,soixante,sechzig
5,soixante-et-un,einundsechzig
5,soixante-deux,zweiundsechzig
5,soixante-trois,dreiundsechzig
5,soixante-quatre,vierundsechzig
5,soixante-cinq,fünfundsechzig
5,soixante-six,sechsundsechzig
5,soixante-sept,siebenundsechzig
5,soixante-huit,achtundsechzig
5,soixante-neuf,neunundsechzig
5,soixante-dix,siebzig
5,soixante-et-onze,einundsiebzig
5,soixante-douze,zweiundsiebzig
5,soixante-treize,dreiundsiebzig
5,soixante-quatorze,vierundsiebzig
5,soixante-quinze,fünfundsiebzig
5,soixante-seize,sechsundsiebzig
5,soixante-dix-sept,siebenundsiebzig
5,soixante-dix-huit,achtundsiebzig
5,soixante-dix-neuf,neunundsiebzig
5,quatre-vingts,achtzig
5,quatre-vingt-un,einundachtzig
5,quatre-vingt-deux,zweiundachtzig
5,quatre-vingt-trois,dreiundachtzig
5,quatre-vingt-quatre,vierundachtzig
5,quatre-vingt-cinq,fünfundachtzig
5,quatre-vingt-six,sechsundachtzig
5,quatre-vingt-sept,siebenundachtzig
5,quatre-vingt-huit,achtundachtzig
5,quatre-vingt-neuf,neunundachtzig
5,quatre-vingt-dix,neunzig
5,quatre-vingt-onze,einundneunzig
5,quatre-vingt-douze,zweiundneunzig
5,quatre-vingt-treize,dreiundneunzig
5,quatre-vingt-quatorze,vierundneunzig
5,quatre-vingt-quinze,fünfundneunzig
5,quatre-vingt-seize,sechsundneunzig
5,quatre-vingt-dix-sept,siebenundneunzig
5,quatre-vingt-dix-huit,achtundneunzig
5,quatre-vingt-dix-neuf,neunundneunzig
5,cent,hundert
5,un euro/des euros,ein Euro/Euro
5,un centime,ein Cent
5,un vendeur/une vendeuse,ein Verkäufer/eine Verkäuferin
5,un coca,eine Cola
5,une eau minérale,ein Mineralwasser
5,une crêpe,eine Crêpe
5,un jus de pomme,ein Apfelsaft
5,une orange,eine Orange
5,un diabolo menthe,ein Diabolo Menthe
5,Ça fait …,Das macht …; Das kostet …
5,une mouette,eine Möwe
5,"Ah, ah, ah !",Hahaha! (So lacht man auf Französisch.)
5,un client/une cliente,ein Kunde/eine Kundin
5,un stand,"ein Stand, eine Bude"
5,Bonne journée !,Einen schönen Tag!
6,Limoges,Stadt in Südwestfrankreich
6,une fête,ein Fest; eine Party
6,la Fête de la musique,die „Fête de la musique“
6,un chanteur/une chanteuse,ein Sänger/eine Sängerin
6,un groupe,eine Gruppe
6,un concert,ein Konzert
6,intéressant/intéressante,interessant
6,content/contente,zufrieden; froh; erfreut
6,les gens (m.) pl.,die Leute
6,un musicien/une musicienne,ein Musiker/eine Musikerin
6,un journal/des journaux,eine Zeitung; hier: ein Tagebuch
6,mauvais/mauvaise,schlecht
6,un problème,ein Problem
6,très,sehr
6,bon/bonne,gut
6,la Finlande,Finnland
6,Noël (m.),Weihnachten
6,petit/petite,klein
